training_step, return
753083,410.0
753764,365.0
754348,255.0
754921,345.0
755667,575.0
756459,500.0
757216,465.0
757843,420.0
758794,545.0
759612,690.0
760639,880.0
761253,390.0
762086,525.0
762694,570.0
763307,420.0
763918,315.0
764814,455.0
765509,360.0
766124,280.0
766886,410.0
767636,440.0
768379,420.0
769018,340.0
769893,455.0
770454,345.0
771271,705.0
771921,345.0
772689,380.0
773582,555.0
774420,525.0
775103,450.0
775776,365.0
776410,365.0
777725,650.0
778277,195.0
779399,955.0
780057,335.0
780667,310.0
781408,365.0
782066,485.0
782665,625.0
783226,220.0
783979,390.0
784754,395.0
785381,335.0
786270,420.0
787357,740.0
788101,385.0
789001,460.0
789676,400.0
790236,330.0
790899,350.0
791822,470.0
792663,450.0
793379,415.0
794069,425.0
794846,465.0
795626,450.0
796468,490.0
797317,480.0
798030,340.0
798970,500.0
799623,345.0
800481,545.0
801400,705.0
801957,335.0
802527,320.0
803500,730.0
804154,390.0
804825,490.0
805775,525.0
806466,320.0
807446,575.0
808092,440.0
809004,680.0
809551,315.0
810562,600.0
811408,465.0
812226,485.0
813127,750.0
814049,530.0
814924,470.0
815583,545.0
816502,475.0
817100,325.0
817774,420.0
818427,640.0
819039,330.0
819645,310.0
820274,410.0
820853,260.0
821549,390.0
822523,480.0
823420,395.0
824274,490.0
824867,315.0
825877,500.0
826717,495.0
827591,525.0
828237,430.0
828914,480.0
829536,335.0
830117,370.0
831028,455.0
831661,295.0
832257,365.0
832940,350.0
833550,310.0
834164,420.0
834760,315.0
835384,390.0
836266,465.0
836855,365.0
837585,495.0
838202,380.0
838790,240.0
839603,445.0
840640,600.0
841354,415.0
842290,430.0
843314,575.0
844024,395.0
844589,410.0
845158,250.0
845925,385.0
846716,485.0
847653,660.0
848687,575.0
849697,425.0
850627,520.0
851589,575.0
852598,600.0
853289,435.0
854143,495.0
855080,360.0
855893,465.0
856952,600.0
857850,670.0
858689,725.0
859703,555.0
860389,420.0
861319,555.0
861959,350.0
862776,485.0
863828,730.0
864757,460.0
865944,770.0
866926,600.0
867771,695.0
868685,475.0
869535,500.0
870381,800.0
871336,600.0
872102,365.0
872947,600.0
873832,545.0
874845,570.0
875705,460.0
876266,260.0
877125,435.0
878000,680.0
878741,625.0
879683,640.0
880507,450.0
881105,385.0
881815,420.0
882819,520.0
883764,495.0
884705,750.0
885531,495.0
886552,800.0
887179,475.0
888099,545.0
888998,670.0
889789,415.0
890247,245.0
891180,580.0
891719,305.0
892327,395.0
893053,545.0
893867,540.0
894791,575.0
895797,520.0
896825,600.0
897886,515.0
898754,505.0
899644,530.0
900290,365.0
901039,520.0
901952,515.0
902714,525.0
903554,505.0
904215,485.0
905188,575.0
905805,325.0
906416,365.0
907188,420.0
908260,1040.0
909274,580.0
910168,495.0
911107,575.0
911863,445.0
912737,495.0
913749,570.0
914503,405.0
915495,600.0
916089,615.0
916935,525.0
917718,515.0
918639,525.0
919280,360.0
919854,365.0
920817,575.0
921814,525.0
922683,435.0
924299,975.0
925004,395.0
926126,920.0
927249,605.0
928494,575.0
929344,745.0
930336,490.0
931006,440.0
931763,495.0
932419,350.0
933249,490.0
933888,365.0
935019,600.0
936514,830.0
938118,925.0
939172,670.0
940331,605.0
941726,530.0
942401,420.0
943036,360.0
944010,600.0
945026,600.0
945871,495.0
947519,1405.0
948187,395.0
948951,680.0
949971,500.0
951269,765.0
952146,445.0
953154,575.0
953761,360.0
954490,545.0
955189,415.0
956025,585.0
957006,545.0
957963,545.0
958931,1005.0
959877,575.0
960682,440.0
961468,525.0
962061,435.0
963341,605.0
964342,640.0
965180,570.0
965878,495.0
966667,445.0
967479,615.0
968238,455.0
968669,200.0
969604,515.0
970370,425.0
971116,510.0
972675,1020.0
973531,870.0
974678,550.0
975335,320.0
976108,630.0
976855,490.0
978062,635.0
978932,545.0
979580,545.0
980370,575.0
981946,1115.0
982692,510.0
983513,645.0
984166,345.0
985207,600.0
986092,690.0
987287,490.0
987887,290.0
988952,570.0
989734,740.0
990532,520.0
991432,530.0
992177,445.0
993191,600.0
994112,525.0
995041,1005.0
996140,575.0
997143,800.0
997939,545.0
998712,440.0
999541,660.0
1000624,600.0
1001560,515.0
1002443,470.0
1003357,460.0
1004379,575.0
1005323,460.0
1006164,550.0
1006817,420.0
1007915,315.0
1008720,690.0
1009677,575.0
1010451,435.0
1011711,800.0
1012510,665.0
1013384,510.0
1014297,670.0
1015422,575.0
1016125,370.0
1016866,885.0
1018295,855.0
1019436,550.0
1020155,380.0
1021202,510.0
1022593,1290.0
1023321,590.0
1024084,485.0
1024611,390.0
1025261,380.0
1025922,475.0
1026831,755.0
1027837,720.0
1028554,545.0
1029433,545.0
1030125,380.0
1030919,485.0
1031672,700.0
1032702,445.0
1033713,500.0
1034494,475.0
1035910,920.0
1036808,600.0
1037641,525.0
1038450,690.0
1039475,575.0
1040592,715.0
1041959,1175.0
1042791,500.0
1043706,600.0
1044618,495.0
1045403,440.0
1046292,515.0
1047405,605.0
1048310,580.0
1049277,600.0
1051174,1175.0
1052200,600.0
1052858,405.0
1053592,470.0
1054403,680.0
1055328,480.0
1056285,600.0
1057062,495.0
1057753,445.0
1058666,600.0
1059257,315.0
1060674,880.0
1061580,575.0
1062506,545.0
1063565,735.0
1064849,605.0
1065934,520.0
1066641,550.0
1067465,545.0
1068101,430.0
1069091,800.0
1069851,465.0
1070672,495.0
1072176,990.0
1072913,465.0
1074008,475.0
1074880,600.0
1075859,675.0
1076569,520.0
1077366,490.0
1078326,800.0
1079183,700.0
1080000,425.0
1080805,490.0
1081930,770.0
1082722,520.0
1083471,575.0
1084478,540.0
1085024,460.0
1085990,570.0
1086796,570.0
1087747,520.0
1088561,545.0
1089373,515.0
1090421,600.0
1092254,1260.0
1093123,520.0
1093926,515.0
1094886,605.0
1095812,575.0
